LABEL,TEXT,URL,EMAIL,PHONE,TEXTO
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,No,No,No,Tu opinión sobre mi? 1. Más de 2. Jada 3. Kusruthi 4. Levantable 5. Silent 6. SPL CARÁCTER 7. No madurado 8. ESTILED 9. Respuesta simple por pls ..
ham,What's up? Do you want me to come online? If you are free we can talk sometime�,No,No,No,"¿Qué pasa? ¿Quieres que me conecte? Si eres libre, podemos hablar en algún momento"
ham,So u workin overtime nigpun?,No,No,No,¿Entonces trabajas en tiempo extra Nigpun?
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",No,No,No,"También señor, le envié un correo electrónico sobre cómo iniciar sesión en el portal de pago de la USC. Te enviará otro mensaje que debería explicar cómo las cosas están de vuelta a casa. Que tengas un gran fin de semana."
Smishing,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,No,No,No,"Por favor, quédese en casa. Para alentar la noción de quedarse en casa. Todos los ciudadanos que pagan impuestos tienen derecho a �305.96 o más reembolso de emergencia. smsg.io/fcvbd"
Smishing,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,yes,No,yes,Bankofamerica ALERT 137943. Siga http://bit.do/cgjk-and reactivate
ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,No,No,No,Lo siento amigo. No sé cómo lo olvidé. Incluso después de que Dan me recordara. Lo siento. Espero que se diviertan.
ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,No,No,No,No sé qué hacer. Todavía no puedo conseguir a nadie. ¿Te recojo a las 7.30 p.m. y podemos ver si están en el pub?
ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,No,No,No,"Ok lor. De todos modos, no podemos obtener boletos ahora porque ya es bastante tarde. ¿Usted es 2, vaya a mirar? Darren es wif ellos ahora ..."
ham,Wat r u doing now?,No,No,No,¿Qué estás haciendo ahora?
ham,Buy one egg for me da..please:),No,No,No,Compra un huevo para mí da ... por favor :)
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,No,No,No,¿Hay alguna razón por la que no hemos hablado este año? De todos modos que tengas una gran semana y todo lo mejor en tu examen
ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.,No,No,No,Detén la historia. Le dije que lo devolví y él dice que no debería ordenarlo.
ham,No. I dont want to hear anything,No,No,No,No. No quiero escuchar nada
ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",No,No,No,"Waqt se pehle o naseeb se zyada kisi ko kuch nahi milta, zindgi wo nahi he Jo hum sochte hai zindgi wo hai Jo ham jetey hai .........."
ham,I'm e person who's doing e sms survey...,No,No,No,Soy una persona que está haciendo E SMS Survey ...
ham,Mm i had my food da from out,No,No,No,Mm tenía mi comida de fuera
ham,"4 tacos + 1 rajas burrito, right?",No,No,No,"4 tacos + 1 rajas burrito, ¿verdad?"
ham,"House-Maid is the murderer, coz the man was murdered on  26th January.. ",No,No,No,"House-Maid es el asesino, porque el hombre fue asesinado el 26 de enero."
ham,Yes! How is a pretty lady like you single?,No,No,No,¡Sí! ¿Cómo es una dama bonita como tú soltera?
ham,(That said can you text him one more time?),No,No,No,"(Dicho esto, ¿puedes enviarle un mensaje de texto una vez más?)"
ham,I know she called me,No,No,No,Sé que ella me llamó
ham,In sch but neva mind u eat 1st lor..,No,No,No,En sch pero neva mente u comes 1er lor ..
spam,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,No,No,yes,Lyricalladie (21/f) te está invitando a ser su amiga. Responder Sí-910 o No-910. Verla: www.sms.ac/u/hmmross ¿parar? Enviar parada frnd al 62468
ham,Jay says that you're a double-faggot,No,No,No,Jay dice que eres un doble faggot
ham,Ok i thk i got it. Then u wan me 2 come now or wat?,No,No,No,"Ok, lo tengo. Entonces me reduces 2 Ven ahora o Wat?"
Smishing,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233,No,No,yes,Usted otorgó un descanso de la ciudad y podría ganar una juerga de compras de verano de £ 200 cada semana. TXT Store a 88039. Skilgme. TSCS087147403233
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",yes,No,No,"Hola de naranja. Para el acceso gratuito de 1 mes a juegos, noticias y deporte, más 10 textos gratuitos y 20 mensajes fotográficos, responda sí. Se aplican términos: www.orange.co.uk/ow"
ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,No,No,No,"Oh ... lk tt den, tomamos un tt termina en Cine lor ... dun wan yogasana oso puede ..."
ham,Whens your radio show?,No,No,No,¿Cuándo es tu programa de radio?
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",No,No,No,"Jane Babes no Goin 2 Wrk, se siente enfermo después de LST Nite. Foned In ya cubre 4 me Chuck. :-)"
spam,"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780",No,No,yes,"¡NUEVA OFERTA! Ahorre hasta 40 \% de factura de electricidad con ahorro de energía (Gobierno de laboratorio probado), Rs. 1050/-(entrega a domicilio gratis) 3 años. Garantía Llame al 9891943823,9891943780"
ham,What * u wearing?,No,No,No,¿Qué llevas?
ham,o turns out i had stereo love on mi phone under the unknown album.,No,No,No,O resulta que tenía amor estéreo en mi teléfono bajo el álbum desconocido.
ham,"Ela kano.,il download, come wen ur free..",No,No,No,"Ela Kano., Descarga, ven cuando eres gratis .."
ham,"Haha figures, well I found the piece and priscilla's bowl",No,No,No,"Jaja figuras, bueno, encontré la pieza y el tazón de Priscilla"
ham,Can you do online transaction?,No,No,No,¿Puedes hacer transacciones en línea?
ham,Ü neva tell me how i noe... I'm not at home in da aft wat...,No,No,No,Ü neva dime cómo noe ... no estoy en casa en da a popa wat ...
Smishing,	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,No,No,yes,"¡Has ganado! Como cliente valioso de Vodafone, nuestra computadora lo ha elegido para ganar un premio de £ 150. Recolectar es fácil. Solo llame al 09061743386"
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,No,No,No,"Recibirá su tono en las próximas 24 horas. Para obtener términos y condiciones, consulte el canal u teletext PG 750"
ham,What you doing?how are you?,No,No,No,¿Qué estás haciendo? ¿Cómo estás?
ham,I didn't get the second half of that message,No,No,No,No recibí la segunda mitad de ese mensaje
Smishing,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,No,No,yes,"Premio Fony £ 350 - Los números Voda de hoy que terminan XXXX son seleccionados para recibir un premio de £ 350. Si tiene una coincidencia, llame al 08712300220 citando el código de reclamación 3100 Aplicación de tarifas estándar"
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,No,No,No,Puede ayudarte a aballarte recogiéndote de donde sea que tu otras aves se encuentren si quieres.
ham,Ok lor�whats up�,No,No,No,Ok lor 'whats arriba'
ham,Hello madam how are you ?,No,No,No,Hola señora como estas
ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,No,No,No,En realidad estaba durmiendo y aún podría cuando volvieras a llamar. Entonces un texto es GR8. Usted rockea hermana. Te enviaré un mensaje de texto cuando me despierte.
ham,Good. do you think you could send me some pix? I would love to see your top and bottom...,No,No,No,Bien. ¿Crees que podrías enviarme algunas pix? Me encantaría ver tu superior e inferior ...
Smishing,Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc,yes,No,No,ID de Apple: [BUXCX7GBVWWCCOD Notificación final Su Apple 1D debe expirar hoy. Evite esto confirmando su ID de Apple en'http: //verifyapple.uk Apple Inc
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,No,No,No,"¡Oye amigo! ¿Cómo estás, cariño? ¿Hiciste buenas vacaciones? Gimmi de Goss! X"
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",No,No,No,"No tengo el número de nadie, todavía no he pensado en una forma discreta de preguntarle a Alex"
ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",No,No,No,"Estoy tomando a Derek & amp; Taylor a Walmart, si no he vuelto cuando termines, simplemente deja el mouse en mi escritorio y te enviaré un mensaje de texto cuando Priscilla esté listo"
ham,Ok..let me knw,No,No,No,Ok ... déjame knw
ham,You are a very very very very bad girl. Or lady.,No,No,No,Eres una chica muy muy muy muy mala. O dama.
Smishing,	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,No,No,yes,"Los números de Voda de hoy que terminan 7548 son seleccionados para recibir un premio de $ 350. Si tiene una coincidencia, llame al 08712300220 citando el código de reclamación 4041 Aplicación de tarifas estándar"
ham,K then 2marrow are you coming to class.,No,No,No,K Entonces 2 Rarrow estás llegando a clase.
ham,Kallis wont bat in 2nd innings.,No,No,No,Kallis no bateará en 2ª entradas.
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�,No,No,No,Conocerte es mi trabajo. . . Tele me cuando haré mi trabajo mañana. Eso es lo que importa
spam,Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays,No,No,No,Supere los desafíos de programación para Multicore y aprenda las técnicas para escalar la confiabilidad. Asista a la sesión Intel a las 3.45 pm en Microsoft Community TechDays
ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",No,No,No,"Jaja, mis piernas y el cuello me están matando y mis amigos esperan terminar la noche con una quemadura, ¿crees que podría pasar en una hora?"
ham,Every day i use to sleep after  &lt;#&gt;  so only.,No,No,No,Todos los días solía dormir después de & lt;#& gt;  Entonces solo.
ham,"Sorry, have urgent work..",No,No,No,"Lo siento, ten un trabajo urgente."
ham,Good Morning plz call me sir..I have an urgent work..,No,No,No,Buenos días por favor llámame señor ... tengo un trabajo urgente.
